canonical_id,family,family_group,title,aliases,lookup_aliases,evidence_class,confidence_level,reproducibility_status,earliest_reported_at,latest_reported_at,held_out_accuracy,logical_accuracy,macro_f1,final_ce_loss,intervention_effect_on_gold,resume_first_token_accuracy,english_fluency_score,contamination_rate,loop_rate,scratchpad_bleed_rate,surgery_trigger_rate,geometry_retention,final_answer_lift,symbolic_lift,artifact_count,doc_count,git_count,script_paths,dag_paths,artifact_roots,baseline_relation,derived_from,supersedes,notes
phase5.objective.ablate_compositional_consistency_loss,phase5_objective_ablation,phase5_objective_ablation,ablate_compositional_consistency_loss,ablate_compositional_consistency_loss,phase5.objective:ablate_compositional_consistency_loss,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.ablate_compression_regularization_loss,phase5_objective_ablation,phase5_objective_ablation,ablate_compression_regularization_loss,ablate_compression_regularization_loss,phase5.objective:ablate_compression_regularization_loss,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.ablate_coverage_regularization_loss,phase5_objective_ablation,phase5_objective_ablation,ablate_coverage_regularization_loss,ablate_coverage_regularization_loss,phase5.objective:ablate_coverage_regularization_loss,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.ablate_roundtrip_consistency_loss,phase5_objective_ablation,phase5_objective_ablation,ablate_roundtrip_consistency_loss,ablate_roundtrip_consistency_loss,phase5.objective:ablate_roundtrip_consistency_loss,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.ablate_semantic_unambiguity_loss,phase5_objective_ablation,phase5_objective_ablation,ablate_semantic_unambiguity_loss,ablate_semantic_unambiguity_loss,phase5.objective:ablate_semantic_unambiguity_loss,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.baseline_no_phase5,phase5_objective_ablation,phase5_objective_ablation,baseline_no_phase5,baseline_no_phase5,phase5.objective:baseline_no_phase5,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.objective.phase5_full,phase5_objective_ablation,phase5_objective_ablation,phase5_full,phase5_full,phase5.objective:phase5_full,artifact,high,runnable,2026-02-22T12:31:47.041824+00:00,2026-02-22T12:31:47.041824+00:00,,,,,,,,,,,,,,,1,0,0,scripts/run_phase5_objective_ablation.py,,src/runs|src/runs/phase5_objective_ablation.json,objective-term ablation,,,
phase5.train.ablate_compositional_consistency_weight,phase5_train_ablation,phase5_train_ablation,ablate_compositional_consistency_weight,ablate_compositional_consistency_weight,phase5.train:ablate_compositional_consistency_weight,artifact,high,runnable,2026-02-22T16:22:11.484636+00:00,2026-02-22T16:25:41.540528+00:00,,,,,,,,,,,,,,,3,0,0,scripts/run_phase5_train_ablation.py,,src/runs/phase5_train_ablation/20260222_162211|src/runs/phase5_train_ablation/20260222_162211/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162502|src/runs/phase5_train_ablation/20260222_162502/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162541|src/runs/phase5_train_ablation/20260222_162541/ablation_manifest.json,phase5 train ablation variant,,,
phase5.train.ablate_compression_regularization_weight,phase5_train_ablation,phase5_train_ablation,ablate_compression_regularization_weight,ablate_compression_regularization_weight,phase5.train:ablate_compression_regularization_weight,artifact,high,runnable,2026-02-22T16:22:11.484636+00:00,2026-02-22T16:25:41.540528+00:00,,,,,,,,,,,,,,,3,0,0,scripts/run_phase5_train_ablation.py,,src/runs/phase5_train_ablation/20260222_162211|src/runs/phase5_train_ablation/20260222_162211/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162502|src/runs/phase5_train_ablation/20260222_162502/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162541|src/runs/phase5_train_ablation/20260222_162541/ablation_manifest.json,phase5 train ablation variant,,,
phase5.train.ablate_coverage_regularization_weight,phase5_train_ablation,phase5_train_ablation,ablate_coverage_regularization_weight,ablate_coverage_regularization_weight,phase5.train:ablate_coverage_regularization_weight,artifact,high,runnable,2026-02-22T16:22:11.484636+00:00,2026-02-22T16:25:41.540528+00:00,,,,,,,,,,,,,,,3,0,0,scripts/run_phase5_train_ablation.py,,src/runs/phase5_train_ablation/20260222_162211|src/runs/phase5_train_ablation/20260222_162211/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162502|src/runs/phase5_train_ablation/20260222_162502/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162541|src/runs/phase5_train_ablation/20260222_162541/ablation_manifest.json,phase5 train ablation variant,,,
phase5.train.ablate_roundtrip_consistency_weight,phase5_train_ablation,phase5_train_ablation,ablate_roundtrip_consistency_weight,ablate_roundtrip_consistency_weight,phase5.train:ablate_roundtrip_consistency_weight,artifact,high,runnable,2026-02-22T16:22:11.484636+00:00,2026-02-22T16:25:41.540528+00:00,,,,,,,,,,,,,,,3,0,0,scripts/run_phase5_train_ablation.py,,src/runs/phase5_train_ablation/20260222_162211|src/runs/phase5_train_ablation/20260222_162211/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162502|src/runs/phase5_train_ablation/20260222_162502/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162541|src/runs/phase5_train_ablation/20260222_162541/ablation_manifest.json,phase5 train ablation variant,,,
phase5.train.ablate_semantic_unambiguity_weight,phase5_train_ablation,phase5_train_ablation,ablate_semantic_unambiguity_weight,ablate_semantic_unambiguity_weight,phase5.train:ablate_semantic_unambiguity_weight,artifact,high,runnable,2026-02-22T16:22:11.484636+00:00,2026-02-22T16:25:41.540528+00:00,,,,,,,,,,,,,,,3,0,0,scripts/run_phase5_train_ablation.py,,src/runs/phase5_train_ablation/20260222_162211|src/runs/phase5_train_ablation/20260222_162211/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162502|src/runs/phase5_train_ablation/20260222_162502/ablation_manifest.json|src/runs/phase5_train_ablation/20260222_162541|src/runs/phase5_train_ablation/20260222_162541/ablation_manifest.json,phase5 train ablation variant,,,
